time,distance_in_cm
2024-03-25 10:45:01.351847,20.92
2024-03-25 10:45:03.077417,20.95
2024-03-25 10:45:04.801369,20.99
2024-03-25 10:45:06.528827,20.96
2024-03-25 10:45:08.260755,20.93
2024-03-25 10:45:10.000894,20.92
2024-03-25 10:45:11.743474,20.96
2024-03-25 10:45:13.467018,21.04
2024-03-25 10:45:15.206112,20.96
2024-03-25 10:45:16.946816,20.9
2024-03-25 10:45:18.667364,20.93
2024-03-25 10:45:20.394410,20.89
2024-03-25 10:45:22.122490,20.92
2024-03-25 10:45:23.848888,20.89
2024-03-25 10:45:25.578136,21.01
2024-03-25 10:45:27.303793,20.98
2024-03-25 10:45:29.036369,21.0
2024-03-25 10:45:30.765525,20.99
2024-03-25 10:45:32.922779,20.96
2024-03-25 10:45:34.648590,20.99
2024-03-25 10:45:36.374244,20.98
2024-03-25 10:45:38.100804,21.0
2024-03-25 10:45:39.867198,20.98
2024-03-25 10:45:42.023102,20.98
2024-03-25 10:45:43.746459,20.91
2024-03-25 10:45:45.832134,21.05
2024-03-25 10:45:47.670054,21.09
2024-03-25 10:45:49.407977,21.14
2024-03-25 10:45:51.281965,21.0
2024-03-25 10:45:53.446941,21.03
2024-03-25 10:45:55.172803,21.04
2024-03-25 10:45:56.904138,21.09
2024-03-25 10:45:58.628217,21.02
2024-03-25 10:46:00.356586,20.64
2024-03-25 10:46:02.127853,23.17
2024-03-25 10:46:04.426598,23.11
2024-03-25 10:46:07.872372,23.05
2024-03-25 10:46:09.830374,23.09
2024-03-25 10:46:12.158714,23.06
2024-03-25 10:46:14.074568,23.18
2024-03-25 10:46:16.065645,23.12
2024-03-25 10:46:18.147714,22.88
2024-03-25 10:46:20.193808,22.93
2024-03-25 10:46:22.439924,22.98
2024-03-25 10:46:24.234100,23.02
2024-03-25 10:46:26.235961,23.0
2024-03-25 10:46:28.253961,23.02
2024-03-25 10:46:30.288714,22.67
2024-03-25 10:46:32.216796,23.04
2024-03-25 10:46:34.229217,23.04
2024-03-25 10:46:36.546330,23.1
2024-03-25 10:46:43.472893,22.66
2024-03-25 10:46:45.843714,23.07
2024-03-25 10:46:47.814094,23.09
2024-03-25 10:46:49.842485,22.69
2024-03-25 10:46:51.709968,22.68
2024-03-25 10:46:54.164055,22.7
2024-03-25 10:46:56.128433,23.13
2024-03-25 10:46:58.143356,22.67
2024-03-25 10:47:00.086789,22.71
2024-03-25 10:47:07.121169,23.09
2024-03-25 10:47:09.477426,22.7
2024-03-25 10:47:16.167867,22.76
2024-03-25 10:47:17.891993,22.77
2024-03-25 10:47:19.616588,22.68
2024-03-25 10:47:21.344493,22.66
2024-03-25 10:47:23.060587,23.07
2024-03-25 10:47:24.784448,22.69
2024-03-25 10:47:26.507666,22.67
2024-03-25 10:47:28.230168,22.7
2024-03-25 10:47:29.956549,22.71
2024-03-25 10:47:31.685902,22.66
2024-03-25 10:47:33.407986,23.11
2024-03-25 10:47:35.129218,23.19
2024-03-25 10:47:36.927579,22.67
2024-03-25 10:47:38.648733,22.68
2024-03-25 10:47:40.369135,22.71
2024-03-25 10:47:42.101964,22.69
2024-03-25 10:47:43.824072,22.65
2024-03-25 10:47:45.833826,23.18
2024-03-25 10:47:47.663357,22.71
2024-03-25 10:47:49.384425,23.15
2024-03-25 10:47:51.137545,22.73
2024-03-25 10:47:52.877954,22.7
2024-03-25 10:47:54.601284,22.75
2024-03-25 10:47:56.318946,22.73
2024-03-25 10:47:58.042847,22.67
2024-03-25 10:47:59.772525,22.71
2024-03-25 10:48:01.501540,22.67
2024-03-25 10:48:03.232300,22.71
2024-03-25 10:48:04.953122,23.14
2024-03-25 10:48:06.679374,22.68
2024-03-25 10:48:08.713373,23.15
2024-03-25 10:48:10.443721,22.73
2024-03-25 10:48:12.160910,23.14
2024-03-25 10:48:13.885282,23.13
2024-03-25 10:48:15.611452,22.67
2024-03-25 10:48:17.647213,22.73
2024-03-25 10:48:19.374090,22.68
2024-03-25 10:48:21.119237,22.71
2024-03-25 10:48:22.842341,22.75
2024-03-25 10:48:24.561663,22.73
2024-03-25 10:48:26.290958,22.73
2024-03-25 10:48:28.014828,22.7
2024-03-25 10:48:29.748650,22.74
2024-03-25 10:48:31.478861,22.72
