time,distance_in_cm
2024-03-25 11:31:32.611535,27.0
2024-03-25 11:31:34.334042,26.95
2024-03-25 11:31:36.063056,26.99
2024-03-25 11:31:37.787426,27.45
2024-03-25 11:31:39.507154,27.02
2024-03-25 11:31:41.240351,26.97
2024-03-25 11:31:42.958286,26.99
2024-03-25 11:31:45.127170,27.03
2024-03-25 11:31:47.516439,27.06
2024-03-25 11:31:49.239218,27.01
2024-03-25 11:31:50.971196,27.47
2024-03-25 11:31:52.688503,27.13
2024-03-25 11:31:54.414423,27.06
2024-03-25 11:31:56.145880,27.49
2024-03-25 11:31:57.863153,27.47
2024-03-25 11:31:59.635935,27.11
2024-03-25 11:32:01.369883,27.09
2024-03-25 11:32:03.098712,27.49
2024-03-25 11:32:04.817192,27.04
2024-03-25 11:32:06.547535,27.12
2024-03-25 11:32:08.273303,27.13
2024-03-25 11:32:09.997149,27.03
2024-03-25 11:32:11.729638,27.04
2024-03-25 11:32:13.457780,27.02
2024-03-25 11:32:15.184714,27.06
2024-03-25 11:32:16.916424,27.05
2024-03-25 11:32:18.642547,27.41
2024-03-25 11:32:20.372098,27.05
2024-03-25 11:32:22.087785,27.05
2024-03-25 11:32:23.813871,27.06
2024-03-25 11:32:25.542601,27.07
2024-03-25 11:32:27.267953,27.05
2024-03-25 11:32:28.992204,26.98
2024-03-25 11:32:30.721424,27.48
2024-03-25 11:32:32.443504,26.98
2024-03-25 11:32:34.169862,27.01
2024-03-25 11:32:35.898993,28.4
2024-03-25 11:32:37.621133,27.49
2024-03-25 11:32:39.348164,27.08
2024-03-25 11:32:41.077775,27.04
2024-03-25 11:32:42.792682,27.02
2024-03-25 11:32:44.723437,27.47
2024-03-25 11:32:46.983579,27.04
2024-03-25 11:32:48.705503,27.01
2024-03-25 11:32:50.430385,27.06
2024-03-25 11:32:52.159871,26.95
2024-03-25 11:32:53.885716,27.45
2024-03-25 11:32:55.619942,27.43
2024-03-25 11:32:57.358065,27.0
2024-03-25 11:32:59.068735,26.99
2024-03-25 11:33:00.798576,27.51
2024-03-25 11:33:02.524517,27.08
2024-03-25 11:33:04.262504,26.97
2024-03-25 11:33:05.992393,27.06
2024-03-25 11:33:07.717031,27.44
2024-03-25 11:33:09.438005,27.44
2024-03-25 11:33:11.167548,27.0
2024-03-25 11:33:12.885124,27.44
2024-03-25 11:33:14.611863,27.05
2024-03-25 11:33:16.342467,27.06
2024-03-25 11:33:18.071732,25.16
2024-03-25 11:33:19.799612,25.59
2024-03-25 11:33:21.530994,29.06
2024-03-25 11:33:23.302537,29.1
2024-03-25 11:33:25.025183,29.13
2024-03-25 11:33:26.753698,29.06
2024-03-25 11:33:28.642571,29.13
2024-03-25 11:33:30.368382,29.03
2024-03-25 11:33:32.098009,29.06
2024-03-25 11:33:33.821436,29.13
2024-03-25 11:33:35.551709,29.1
2024-03-25 11:33:37.276425,29.61
2024-03-25 11:33:38.999681,29.2
2024-03-25 11:33:40.729994,29.08
2024-03-25 11:33:42.451781,29.57
2024-03-25 11:33:44.166979,29.1
2024-03-25 11:33:46.400521,29.12
2024-03-25 11:33:48.128712,29.11
2024-03-25 11:33:49.851768,29.14
2024-03-25 11:33:51.584893,29.08
2024-03-25 11:33:53.295160,29.06
2024-03-25 11:33:55.019747,29.09
2024-03-25 11:33:56.817377,29.07
2024-03-25 11:33:58.539787,29.12
2024-03-25 11:34:00.253489,29.07
2024-03-25 11:34:01.988271,29.13
2024-03-25 11:34:03.719422,29.15
2024-03-25 11:34:05.480961,29.09
2024-03-25 11:34:07.203470,29.11
2024-03-25 11:34:08.926435,29.57
2024-03-25 11:34:10.651882,29.08
2024-03-25 11:34:12.385439,29.6
2024-03-25 11:34:14.112827,29.08
2024-03-25 11:34:15.936451,29.07
2024-03-25 11:34:17.664155,29.15
2024-03-25 11:34:19.387565,29.07
2024-03-25 11:34:21.120845,29.1
2024-03-25 11:34:22.845373,29.58
2024-03-25 11:34:24.568857,29.11
2024-03-25 11:34:26.438038,29.13
2024-03-25 11:34:28.161253,29.08
2024-03-25 11:34:29.874291,29.08
2024-03-25 11:34:31.629389,29.12
2024-03-25 11:34:33.357869,29.09
2024-03-25 11:34:35.082176,29.08
2024-03-25 11:34:36.812629,29.53
2024-03-25 11:34:38.537511,29.04
2024-03-25 11:34:40.262911,29.13
2024-03-25 11:34:42.018782,29.12
2024-03-25 11:34:43.757844,29.54
2024-03-25 11:34:45.848076,29.56
2024-03-25 11:34:47.731099,29.06
2024-03-25 11:34:49.459225,29.09
2024-03-25 11:34:51.177310,29.1
2024-03-25 11:34:52.906373,29.06
2024-03-25 11:34:54.634191,29.17
2024-03-25 11:34:56.365455,29.06
2024-03-25 11:34:58.689715,29.6
2024-03-25 11:35:00.411409,29.11
2024-03-25 11:35:02.255488,29.12
2024-03-25 11:35:03.983997,29.12
2024-03-25 11:35:05.711573,29.08
2024-03-25 11:35:07.505069,29.1
2024-03-25 11:35:09.240793,29.13
2024-03-25 11:35:10.957315,29.14
2024-03-25 11:35:12.692305,29.11
2024-03-25 11:35:14.412182,29.09
2024-03-25 11:35:16.154524,29.08
2024-03-25 11:35:17.896874,29.02
2024-03-25 11:35:19.685281,29.02
2024-03-25 11:35:21.523820,28.97
2024-03-25 11:35:23.266070,21.16
2024-03-25 11:35:25.002419,28.81
2024-03-25 11:35:26.728757,28.84
2024-03-25 11:35:28.453775,29.08
2024-03-25 11:35:30.177269,29.14
2024-03-25 11:35:31.890559,28.41
2024-03-25 11:35:33.617393,35.77
2024-03-25 11:35:35.344085,24.52
2024-03-25 11:35:37.076834,23.7
2024-03-25 11:35:38.816621,31.1
2024-03-25 11:35:40.545148,29.07
2024-03-25 11:35:42.269785,29.03
2024-03-25 11:35:43.995953,29.01
2024-03-25 11:35:45.979675,29.12
2024-03-25 11:35:47.787119,29.53
2024-03-25 11:35:49.512210,29.07
2024-03-25 11:35:51.241626,29.08
2024-03-25 11:35:52.998905,29.09
2024-03-25 11:35:54.723761,29.08
2024-03-25 11:35:56.450673,29.13
2024-03-25 11:35:58.176741,29.1
2024-03-25 11:35:59.903008,29.11
2024-03-25 11:36:01.637478,29.02
2024-03-25 11:36:03.360072,29.09
2024-03-25 11:36:05.095817,29.1
2024-03-25 11:36:06.855023,29.13
2024-03-25 11:36:08.579156,29.1
2024-03-25 11:36:10.303383,29.1
2024-03-25 11:36:12.040390,29.08
2024-03-25 11:36:13.858760,29.06
2024-03-25 11:36:15.587843,29.11
2024-03-25 11:36:17.311098,29.07
2024-03-25 11:36:19.032954,29.05
2024-03-25 11:36:20.759299,29.11
2024-03-25 11:36:22.488360,29.1
2024-03-25 11:36:24.217274,29.05
2024-03-25 11:36:25.948680,29.04
2024-03-25 11:36:27.670413,29.09
2024-03-25 11:36:29.425098,29.1
2024-03-25 11:36:31.157052,29.11
2024-03-25 11:36:32.877849,29.1
2024-03-25 11:36:34.605836,29.09
2024-03-25 11:36:36.458034,29.18
2024-03-25 11:36:38.174211,29.16
2024-03-25 11:36:39.900667,30.48
2024-03-25 11:36:41.631141,29.1
2024-03-25 11:36:43.675996,29.08
2024-03-25 11:36:45.757086,29.08
2024-03-25 11:36:47.731103,29.09
2024-03-25 11:36:49.456004,29.1
2024-03-25 11:36:51.221838,29.07
2024-03-25 11:36:52.935812,29.06
2024-03-25 11:36:54.658484,29.17
2024-03-25 11:36:56.387087,29.13
2024-03-25 11:36:58.114860,29.17
2024-03-25 11:36:59.841250,29.12
2024-03-25 11:37:01.573969,29.16
2024-03-25 11:37:03.306583,29.08
2024-03-25 11:37:05.120447,29.12
2024-03-25 11:37:06.881923,29.19
2024-03-25 11:37:08.605929,29.1
2024-03-25 11:37:10.333013,29.09
2024-03-25 11:37:12.066701,29.13
2024-03-25 11:37:13.794535,29.18
2024-03-25 11:37:15.528527,29.13
2024-03-25 11:37:17.266105,29.14
2024-03-25 11:37:18.993448,29.1
2024-03-25 11:37:20.725104,29.09
2024-03-25 11:37:22.455029,29.14
2024-03-25 11:37:24.185987,29.11
2024-03-25 11:37:25.933993,29.08
2024-03-25 11:37:27.659662,29.12
2024-03-25 11:37:29.377367,29.05
2024-03-25 11:37:31.110772,29.11
2024-03-25 11:37:32.832002,29.11
2024-03-25 11:37:34.636528,29.05
2024-03-25 11:37:36.367350,29.08
2024-03-25 11:37:38.090501,29.09
2024-03-25 11:37:39.814393,29.17
2024-03-25 11:37:41.549466,29.09
2024-03-25 11:37:43.281767,29.08
2024-03-25 11:37:45.403161,29.15
2024-03-25 11:37:47.595283,29.14
2024-03-25 11:37:49.324563,29.15
2024-03-25 11:37:51.057803,29.13
2024-03-25 11:37:52.785296,29.06
2024-03-25 11:37:54.511903,29.16
2024-03-25 11:37:56.240983,29.11
2024-03-25 11:37:57.968525,29.1
2024-03-25 11:37:59.691919,29.12
2024-03-25 11:38:01.441116,29.12
2024-03-25 11:38:03.169807,29.07
2024-03-25 11:38:04.897149,29.1
2024-03-25 11:38:06.624715,29.07
2024-03-25 11:38:08.348182,29.08
2024-03-25 11:38:10.074397,29.15
2024-03-25 11:38:11.805438,29.17
2024-03-25 11:38:13.527976,29.07
2024-03-25 11:38:15.252959,29.15
2024-03-25 11:38:16.984964,29.13
2024-03-25 11:38:18.713173,29.11
2024-03-25 11:38:20.439170,29.53
2024-03-25 11:38:22.167783,29.08
2024-03-25 11:38:23.891468,29.13
2024-03-25 11:38:25.621894,29.1
2024-03-25 11:38:27.347942,29.13
2024-03-25 11:38:29.076153,29.14
2024-03-25 11:38:30.808300,29.06
2024-03-25 11:38:32.539361,29.11
2024-03-25 11:38:34.267185,29.49
2024-03-25 11:38:36.000083,29.17
2024-03-25 11:38:37.730533,29.15
2024-03-25 11:38:39.454495,29.06
2024-03-25 11:38:41.179001,29.16
2024-03-25 11:38:42.903103,29.1
2024-03-25 11:38:45.002260,29.17
2024-03-25 11:38:47.219104,29.15
2024-03-25 11:38:48.934289,29.07
2024-03-25 11:38:50.658252,29.57
2024-03-25 11:38:52.383518,29.07
2024-03-25 11:38:54.097222,29.12
2024-03-25 11:38:55.823953,29.13
2024-03-25 11:38:57.547490,29.13
2024-03-25 11:38:59.273034,29.07
2024-03-25 11:39:01.003750,29.1
2024-03-25 11:39:02.724247,29.1
2024-03-25 11:39:04.448524,29.17
2024-03-25 11:39:06.197870,29.13
2024-03-25 11:39:07.926705,29.57
2024-03-25 11:39:09.649741,29.08
2024-03-25 11:39:11.377893,29.02
2024-03-25 11:39:13.103666,29.15
2024-03-25 11:39:14.834133,29.08
2024-03-25 11:39:16.561578,29.15
2024-03-25 11:39:18.286958,29.54
2024-03-25 11:39:20.010124,29.07
2024-03-25 11:39:21.741881,29.59
2024-03-25 11:39:23.468439,29.04
2024-03-25 11:39:25.192348,29.51
2024-03-25 11:39:26.925625,29.08
2024-03-25 11:39:28.647268,29.04
2024-03-25 11:39:30.372154,29.11
2024-03-25 11:39:32.103242,29.06
2024-03-25 11:39:33.834885,29.08
2024-03-25 11:39:35.560628,29.04
2024-03-25 11:39:37.286414,29.02
