time,distance_in_cm
2024-03-25 11:19:41.191126,27.05
2024-03-25 11:19:42.917361,27.04
2024-03-25 11:19:44.981971,27.04
2024-03-25 11:19:47.375357,27.05
2024-03-25 11:19:49.101130,27.49
2024-03-25 11:19:50.813871,26.99
2024-03-25 11:19:52.536585,27.04
2024-03-25 11:19:54.262063,27.04
2024-03-25 11:19:55.997439,27.04
2024-03-25 11:19:57.710913,27.08
2024-03-25 11:19:59.454371,26.99
2024-03-25 11:20:01.192430,27.02
2024-03-25 11:20:02.915403,26.98
2024-03-25 11:20:04.634692,27.44
2024-03-25 11:20:06.362191,27.05
2024-03-25 11:20:08.087536,27.01
2024-03-25 11:20:09.812313,27.03
2024-03-25 11:20:11.533790,27.1
2024-03-25 11:20:13.258822,27.06
2024-03-25 11:20:14.983189,26.99
2024-03-25 11:20:16.706919,27.03
2024-03-25 11:20:18.423094,26.99
2024-03-25 11:20:20.144419,27.05
2024-03-25 11:20:21.865591,26.99
2024-03-25 11:20:23.647141,26.96
2024-03-25 11:20:25.372050,27.0
2024-03-25 11:20:27.098818,27.09
2024-03-25 11:20:28.822604,27.09
2024-03-25 11:20:30.549894,27.02
2024-03-25 11:20:32.276006,27.02
2024-03-25 11:20:33.999929,27.11
2024-03-25 11:20:35.731333,27.07
2024-03-25 11:20:37.453623,27.0
2024-03-25 11:20:39.174378,27.03
2024-03-25 11:20:40.903032,27.1
2024-03-25 11:20:42.628956,26.03
2024-03-25 11:20:44.443602,27.03
2024-03-25 11:20:46.878843,27.0
2024-03-25 11:20:48.595283,27.02
2024-03-25 11:20:50.319456,27.08
2024-03-25 11:20:52.055798,27.1
2024-03-25 11:20:53.790210,27.08
2024-03-25 11:20:55.840139,27.0
2024-03-25 11:20:57.571528,27.02
2024-03-25 11:20:59.304460,27.51
2024-03-25 11:21:01.038133,27.47
2024-03-25 11:21:02.772148,27.0
2024-03-25 11:21:04.505178,27.02
2024-03-25 11:21:06.241993,27.04
2024-03-25 11:21:07.974976,27.08
2024-03-25 11:21:09.710478,26.5
2024-03-25 11:21:11.447451,27.05
2024-03-25 11:21:13.179770,27.02
2024-03-25 11:21:15.047981,27.03
2024-03-25 11:21:16.787489,27.03
2024-03-25 11:21:18.517653,27.0
2024-03-25 11:21:20.246206,26.98
2024-03-25 11:21:21.994056,27.0
2024-03-25 11:21:23.727868,26.99
2024-03-25 11:21:25.464797,26.95
2024-03-25 11:21:27.189691,26.99
2024-03-25 11:21:28.924485,26.98
2024-03-25 11:21:30.661867,27.05
2024-03-25 11:21:32.424805,27.0
2024-03-25 11:21:34.153448,26.99
2024-03-25 11:21:35.893119,27.06
2024-03-25 11:21:37.626143,27.02
2024-03-25 11:21:39.352961,27.0
2024-03-25 11:21:41.092285,27.53
