time,distance_in_cm
2024-03-25 09:39:04.505740,22.82
2024-03-25 09:39:06.591824,22.83
2024-03-25 09:39:08.320114,22.62
2024-03-25 09:39:10.038546,22.78
2024-03-25 09:39:11.769894,22.72
2024-03-25 09:39:13.505730,22.73
2024-03-25 09:39:15.229266,22.81
2024-03-25 09:39:16.954347,22.8
2024-03-25 09:39:18.675447,22.84
2024-03-25 09:39:20.411257,22.84
2024-03-25 09:39:22.145106,22.82
2024-03-25 09:39:23.866482,22.81
2024-03-25 09:39:25.592995,22.78
2024-03-25 09:39:27.309417,22.73
2024-03-25 09:39:29.031720,22.79
2024-03-25 09:39:30.758534,22.78
2024-03-25 09:39:32.482181,22.78
2024-03-25 09:39:34.211652,22.81
2024-03-25 09:39:35.938107,22.79
2024-03-25 09:39:37.661405,22.75
2024-03-25 09:39:39.380739,22.81
2024-03-25 09:39:41.101545,25.85
2024-03-25 09:39:42.828353,22.78
2024-03-25 09:39:44.576245,22.73
2024-03-25 09:39:46.303198,22.72
2024-03-25 09:39:48.028792,22.81
2024-03-25 09:39:49.752803,22.81
2024-03-25 09:39:51.478265,22.76
2024-03-25 09:39:53.595660,22.86
2024-03-25 09:39:55.433921,22.81
2024-03-25 09:39:57.490699,22.75
2024-03-25 09:39:59.227857,22.88
2024-03-25 09:40:00.959783,22.77
2024-03-25 09:40:02.673519,22.74
2024-03-25 09:40:04.393195,22.82
2024-03-25 09:40:06.481841,22.82
2024-03-25 09:40:08.201602,22.78
2024-03-25 09:40:09.920877,22.75
2024-03-25 09:40:11.644451,22.81
2024-03-25 09:40:13.363656,22.78
2024-03-25 09:40:15.086860,22.81
2024-03-25 09:40:16.807188,22.78
2024-03-25 09:40:18.530235,22.8
2024-03-25 09:40:20.252783,22.81
2024-03-25 09:40:22.060522,22.74
2024-03-25 09:40:23.788715,22.79
2024-03-25 09:40:25.519350,22.76
2024-03-25 09:40:27.244131,22.78
2024-03-25 09:40:29.340752,22.77
2024-03-25 09:40:31.083004,22.78
2024-03-25 09:40:32.795189,22.79
2024-03-25 09:40:34.517216,22.75
2024-03-25 09:40:36.241689,22.75
2024-03-25 09:40:38.424793,22.85
2024-03-25 09:40:41.680872,22.72
2024-03-25 09:40:43.402740,22.8
2024-03-25 09:40:45.127111,22.77
2024-03-25 09:40:46.856842,22.84
2024-03-25 09:40:48.577686,22.79
2024-03-25 09:40:50.300797,22.78
2024-03-25 09:40:52.017529,22.77
2024-03-25 09:40:54.210719,22.78
2024-03-25 09:40:55.932388,22.82
2024-03-25 09:40:57.653350,22.84
2024-03-25 09:40:59.376645,22.82
2024-03-25 09:41:01.459037,22.77
2024-03-25 09:41:03.182863,22.76
2024-03-25 09:41:04.905733,22.8
2024-03-25 09:41:06.623472,22.76
2024-03-25 09:41:08.341887,22.89
2024-03-25 09:41:10.053504,22.77
2024-03-25 09:41:11.780921,22.76
2024-03-25 09:41:13.507076,22.81
2024-03-25 09:41:15.587395,22.84
2024-03-25 09:41:17.311420,22.82
2024-03-25 09:41:19.177709,22.76
2024-03-25 09:41:20.899226,22.79
2024-03-25 09:41:22.620412,22.82
2024-03-25 09:41:24.342027,22.75
2024-03-25 09:41:26.439908,22.8
2024-03-25 09:41:28.165951,22.78
2024-03-25 09:41:29.890243,22.73
2024-03-25 09:41:31.620327,22.78
2024-03-25 09:41:33.335499,22.87
2024-03-25 09:41:35.460153,22.83
2024-03-25 09:41:37.177486,22.8
2024-03-25 09:41:39.270629,22.73
2024-03-25 09:41:41.032771,22.73
2024-03-25 09:41:47.913568,22.82
2024-03-25 09:41:49.651926,22.73
2024-03-25 09:41:51.400299,22.8
2024-03-25 09:41:53.462659,22.82
2024-03-25 09:41:55.472822,22.8
2024-03-25 09:41:57.320926,22.81
2024-03-25 09:41:59.412490,22.75
2024-03-25 09:42:01.446934,22.8
2024-03-25 09:42:03.180778,22.8
2024-03-25 09:42:04.922364,22.79
2024-03-25 09:42:06.675640,22.83
2024-03-25 09:42:08.413364,22.83
2024-03-25 09:42:10.146745,22.86
2024-03-25 09:42:12.282719,22.75
2024-03-25 09:42:14.047361,22.81
2024-03-25 09:42:15.774164,22.74
2024-03-25 09:42:17.551010,22.87
2024-03-25 09:42:24.736436,22.79
2024-03-25 09:42:26.489595,22.87
2024-03-25 09:42:28.242616,22.83
2024-03-25 09:42:29.997228,22.84
2024-03-25 09:42:32.150875,22.72
2024-03-25 09:42:34.573001,22.85
2024-03-25 09:42:36.329604,22.8
2024-03-25 09:42:38.163108,22.78
2024-03-25 09:42:39.904324,22.77
2024-03-25 09:42:42.047937,22.82
2024-03-25 09:42:43.803376,22.81
2024-03-25 09:42:45.572245,22.77
2024-03-25 09:42:47.346308,22.76
2024-03-25 09:42:50.187776,22.84
2024-03-25 09:42:51.962876,22.78
2024-03-25 09:42:54.058195,22.75
2024-03-25 09:42:55.954347,22.81
2024-03-25 09:42:58.314428,22.85
2024-03-25 09:43:00.086221,22.88
2024-03-25 09:43:01.920769,22.76
2024-03-25 09:43:04.809513,22.81
2024-03-25 09:43:06.581919,22.81
2024-03-25 09:43:08.308476,22.8
2024-03-25 09:43:10.077878,22.8
2024-03-25 09:43:11.847315,22.75
2024-03-25 09:43:13.598809,22.75
2024-03-25 09:43:15.804463,22.83
2024-03-25 09:43:17.597564,22.82
2024-03-25 09:43:19.343536,25.21
2024-03-25 09:43:21.190899,25.24
2024-03-25 09:43:22.957276,25.22
2024-03-25 09:43:24.717271,26.9
2024-03-25 09:43:26.512671,26.96
2024-03-25 09:43:33.232725,29.05
2024-03-25 09:43:35.020533,31.69
2024-03-25 09:43:37.156231,31.59
2024-03-25 09:43:38.909780,31.68
2024-03-25 09:43:41.049174,31.19
2024-03-25 09:43:47.779099,26.67
2024-03-25 09:43:49.543859,26.91
2024-03-25 09:43:52.569117,24.85
2024-03-25 09:43:54.868772,24.83
2024-03-25 09:43:56.656493,24.89
2024-03-25 09:43:58.421624,24.88
2024-03-25 09:44:00.187617,24.88
2024-03-25 09:44:02.042641,25.29
2024-03-25 09:44:04.130577,24.83
2024-03-25 09:44:05.923685,24.89
2024-03-25 09:44:08.078211,24.88
2024-03-25 09:44:09.932822,24.93
2024-03-25 09:44:16.717883,25.34
2024-03-25 09:44:18.497336,24.91
2024-03-25 09:44:21.258944,24.87
2024-03-25 09:44:23.056349,24.82
2024-03-25 09:44:24.817218,24.83
2024-03-25 09:44:31.583122,24.89
