time,distance_in_cm
2024-03-25 11:46:52.644102,31.19
2024-03-25 11:46:54.368274,31.62
2024-03-25 11:46:56.097640,31.19
2024-03-25 11:46:57.867869,31.62
2024-03-25 11:46:59.593907,31.15
2024-03-25 11:47:01.320850,31.18
2024-03-25 11:47:03.044789,31.19
2024-03-25 11:47:04.771128,31.18
2024-03-25 11:47:06.516027,31.57
2024-03-25 11:47:08.240893,31.61
2024-03-25 11:47:09.964445,31.6
2024-03-25 11:47:11.692433,31.61
2024-03-25 11:47:13.413185,31.23
2024-03-25 11:47:15.138951,31.65
2024-03-25 11:47:16.886474,31.22
2024-03-25 11:47:18.618542,31.58
2024-03-25 11:47:20.342647,31.55
2024-03-25 11:47:22.069226,31.2
2024-03-25 11:47:23.790904,31.1
2024-03-25 11:47:25.645731,31.65
2024-03-25 11:47:27.371702,31.14
2024-03-25 11:47:29.094903,31.53
2024-03-25 11:47:30.826641,31.18
2024-03-25 11:47:32.549689,31.6
2024-03-25 11:47:34.274222,31.57
2024-03-25 11:47:36.004416,31.56
2024-03-25 11:47:37.743108,31.2
2024-03-25 11:47:39.471381,31.12
2024-03-25 11:47:41.200119,31.17
2024-03-25 11:47:42.988225,31.6
2024-03-25 11:47:45.146449,31.65
2024-03-25 11:47:47.400960,31.15
2024-03-25 11:47:49.123415,31.13
2024-03-25 11:47:50.855024,31.2
2024-03-25 11:47:52.576657,31.17
2024-03-25 11:47:54.329964,31.59
2024-03-25 11:47:56.058481,31.63
2024-03-25 11:47:57.782950,31.62
2024-03-25 11:47:59.506924,31.12
2024-03-25 11:48:01.253489,31.12
2024-03-25 11:48:03.006538,31.12
2024-03-25 11:48:04.750142,31.14
2024-03-25 11:48:06.483353,31.62
2024-03-25 11:48:08.211157,31.14
2024-03-25 11:48:09.938038,31.17
2024-03-25 11:48:11.660407,31.17
2024-03-25 11:48:13.387003,31.17
2024-03-25 11:48:15.112543,31.18
2024-03-25 11:48:16.838412,31.19
2024-03-25 11:48:18.565212,31.25
2024-03-25 11:48:20.290394,31.55
2024-03-25 11:48:22.022227,31.14
2024-03-25 11:48:23.750206,31.1
2024-03-25 11:48:25.577483,31.55
2024-03-25 11:48:27.299690,31.17
2024-03-25 11:48:29.029434,31.67
2024-03-25 11:48:30.758509,31.58
2024-03-25 11:48:32.485948,31.16
2024-03-25 11:48:34.212353,31.19
2024-03-25 11:48:35.945983,31.57
2024-03-25 11:48:37.685279,31.2
2024-03-25 11:48:39.400349,31.58
2024-03-25 11:48:41.125110,31.14
2024-03-25 11:48:42.834603,31.14
2024-03-25 11:48:44.746129,31.16
2024-03-25 11:48:46.966882,31.22
2024-03-25 11:48:48.728278,31.13
2024-03-25 11:48:50.455454,31.22
2024-03-25 11:48:52.171436,31.16
2024-03-25 11:48:53.898013,31.15
2024-03-25 11:48:55.630477,31.1
2024-03-25 11:48:57.357273,31.18
2024-03-25 11:48:59.082150,31.12
2024-03-25 11:49:00.812013,31.18
2024-03-25 11:49:02.562081,31.1
2024-03-25 11:49:04.283701,31.16
2024-03-25 11:49:06.014526,31.68
2024-03-25 11:49:07.737986,31.12
2024-03-25 11:49:09.463736,31.23
2024-03-25 11:49:11.192549,31.21
2024-03-25 11:49:12.921568,31.21
2024-03-25 11:49:14.647108,31.19
2024-03-25 11:49:16.376620,31.56
2024-03-25 11:49:18.102912,31.6
2024-03-25 11:49:19.828476,31.63
2024-03-25 11:49:21.565525,31.15
2024-03-25 11:49:23.291251,31.62
2024-03-25 11:49:25.014917,31.58
