timestamp,extensionName,eventType,url,tabTitle,context,clipboardText,screenX,screenY,keyboardCommand,selectedText,domPath,version,context.elementType,context.elementId,context.url,context.elementName,context.inputType,context.elementValue,context.className,context.checked,context.x,context.y,context.width,context.height,context.extractions
2024-03-25 09:27:03,chrome,Element changed,https://vc11-wi.fit.fraunhofer.de/hardware,All Assets :: Inventar,,,0,0,,,,1.0.1,INPUT|textbox,tagSearch,,assetTag|Lookup by Asset Tag,text,l1,form-control,False,859.0,95.0,184.0,34.0,[]
2024-03-25 09:27:03,chrome,Left click,https://vc11-wi.fit.fraunhofer.de/hardware,All Assets :: Inventar,,,0,0,,,,1.0.1,BUTTON|button,,,Search,,,btn btn-primary pull-right,False,1058.0,8.0,39.0,33.0,[]
2024-03-25 09:27:06,chrome,Left click,https://vc11-wi.fit.fraunhofer.de/hardware/6030,View Asset L1 :: Inventar,,,1182,500,,,,1.0.1,A|link,,https://vc11-wi.fit.fraunhofer.de/hardware/6030/edit,Edit Asset,,,btn btn-sm btn-primary hidden-print,False,1116.0,486.0,363.0,29.0,[]
2024-03-25 09:27:07,chrome,Left click,https://vc11-wi.fit.fraunhofer.de/hardware/6030/edit,Asset Update :: Inventar,,,760,535,,,,1.0.1,SPAN|textbox,select2-status_select_id-container,,,,,select2-selection__rendered needsclick,False,692.0,519.0,428.0,28.0,[]
2024-03-25 09:27:12,chrome,Left click,https://vc11-wi.fit.fraunhofer.de/hardware/6030/edit,Asset Update :: Inventar,,,1244,708,,,,1.0.1,BUTTON|button,,,Save,,,btn btn-primary,False,1199.0,696.0,70.0,33.0,[]
2024-03-25 09:27:30,chrome,Left click,https://vc11-wi.fit.fraunhofer.de/hardware/6030,View Asset L1 :: Inventar,,,325,110,,,,1.0.1,IMG|generic,,https://vc11-wi.fit.fraunhofer.de,,,,navbar-brand-img,False,245.0,87.0,149.0,50.0,[]
2024-03-25 09:27:32,chrome,Left click,https://vc11-wi.fit.fraunhofer.de/,Dashboard :: Inventar,,,561,148,,,,1.0.1,SECTION|main,,,Dashboard,,,content-header,False,230.0,138.0,1289.0,45.0,[]
