timestamp,extensionName,eventType,url,tabTitle,context,clipboardText,screenX,screenY,keyboardCommand,selectedText,domPath,version,context.elementType,context.elementId,context.url,context.elementName,context.inputType,context.elementValue,context.className,context.checked,context.x,context.y,context.width,context.height,context.extractions
2024-03-25 09:22:50,chrome,Element changed,https://vc11-wi.fit.fraunhofer.de/,Dashboard :: Inventar,,,0,0,,,,1.0.1,INPUT|textbox,tagSearch,,assetTag|Lookup by Asset Tag,text,m1,form-control,False,859.0,95.0,184.0,34.0,[]
2024-03-25 09:22:50,chrome,Left click,https://vc11-wi.fit.fraunhofer.de/,Dashboard :: Inventar,,,0,0,,,,1.0.1,BUTTON|button,,,Search,,,btn btn-primary pull-right,False,1058.0,8.0,39.0,33.0,[]
2024-03-25 09:22:54,chrome,Left click,https://vc11-wi.fit.fraunhofer.de/hardware/6278,View Asset M1 :: Inventar,,,1236,550,,,,1.0.1,A|link,,https://vc11-wi.fit.fraunhofer.de/hardware/6278/checkin,Checkin Asset,,,btn btn-sm btn-primary hidden-print,False,1116.0,537.0,363.0,29.0,[]
2024-03-25 09:22:59,chrome,Left click,https://vc11-wi.fit.fraunhofer.de/hardware/6278/checkin,Checkin Asset :: Inventar,,,1092,747,,,,1.0.1,BUTTON|button,,,Checkin,,,btn btn-primary pull-right,False,1056.0,719.0,90.0,33.0,[]
