time,distance_in_cm
2024-03-25 11:55:41.158244,29.22
2024-03-25 11:55:42.885728,29.21
2024-03-25 11:55:44.890083,29.16
2024-03-25 11:55:47.186998,29.25
2024-03-25 11:55:48.908253,29.21
2024-03-25 11:55:50.631340,29.21
2024-03-25 11:55:52.351796,29.25
2024-03-25 11:55:54.075813,29.21
2024-03-25 11:55:55.806706,29.15
2024-03-25 11:55:57.537577,29.21
2024-03-25 11:55:59.280755,29.25
2024-03-25 11:56:01.021600,29.62
2024-03-25 11:56:02.768567,29.23
2024-03-25 11:56:04.506512,29.2
2024-03-25 11:56:06.244192,29.59
2024-03-25 11:56:07.980377,29.19
2024-03-25 11:56:09.719018,29.65
2024-03-25 11:56:11.446842,29.77
2024-03-25 11:56:13.172499,29.56
2024-03-25 11:56:14.905457,29.18
2024-03-25 11:56:16.631930,29.24
2024-03-25 11:56:18.358766,29.09
2024-03-25 11:56:20.106484,29.65
2024-03-25 11:56:21.834409,29.26
2024-03-25 11:56:23.554793,29.66
2024-03-25 11:56:25.270502,29.6
2024-03-25 11:56:27.000042,29.15
2024-03-25 11:56:28.725139,29.15
2024-03-25 11:56:30.475895,29.18
2024-03-25 11:56:32.191249,29.23
2024-03-25 11:56:33.914681,29.62
2024-03-25 11:56:35.647180,29.2
2024-03-25 11:56:37.370624,29.22
2024-03-25 11:56:39.092900,29.53
2024-03-25 11:56:40.881570,29.23
2024-03-25 11:56:42.604675,29.22
2024-03-25 11:56:44.319270,29.67
2024-03-25 11:56:46.513928,29.15
2024-03-25 11:56:48.600492,29.67
2024-03-25 11:56:50.324043,29.57
2024-03-25 11:56:52.051826,29.13
2024-03-25 11:56:53.774225,29.58
2024-03-25 11:56:55.503038,29.21
2024-03-25 11:56:57.229533,29.19
2024-03-25 11:56:58.954599,29.52
2024-03-25 11:57:00.697403,29.15
2024-03-25 11:57:02.429713,29.6
2024-03-25 11:57:04.152994,29.64
2024-03-25 11:57:05.882536,29.15
2024-03-25 11:57:07.603269,29.64
2024-03-25 11:57:09.345455,29.15
2024-03-25 11:57:11.078809,29.68
2024-03-25 11:57:12.805254,29.62
2024-03-25 11:57:14.531559,29.61
2024-03-25 11:57:16.261341,29.62
2024-03-25 11:57:17.985960,29.19
2024-03-25 11:57:19.712163,29.2
2024-03-25 11:57:21.529166,29.61
2024-03-25 11:57:23.261681,29.59
2024-03-25 11:57:25.073402,29.16
2024-03-25 11:57:26.805023,29.17
2024-03-25 11:57:28.530093,29.17
2024-03-25 11:57:30.251811,29.17
2024-03-25 11:57:32.000588,28.83
2024-03-25 11:57:33.731518,29.16
2024-03-25 11:57:35.453008,29.11
2024-03-25 11:57:37.177543,29.21
2024-03-25 11:57:38.901998,29.15
2024-03-25 11:57:40.632054,29.6
2024-03-25 11:57:42.357979,29.68
2024-03-25 11:57:44.081861,29.12
2024-03-25 11:57:46.240073,29.62
2024-03-25 11:57:47.953393,29.54
2024-03-25 11:57:49.666949,29.6
2024-03-25 11:57:51.397233,29.21
2024-03-25 11:57:53.113224,29.2
2024-03-25 11:57:54.849902,29.55
2024-03-25 11:57:56.578527,29.17
2024-03-25 11:57:58.302212,29.22
2024-03-25 11:58:00.026515,29.28
2024-03-25 11:58:01.756200,29.22
2024-03-25 11:58:03.478650,29.66
2024-03-25 11:58:05.207041,29.15
2024-03-25 11:58:06.939659,29.18
2024-03-25 11:58:08.656151,29.57
2024-03-25 11:58:10.379852,29.18
2024-03-25 11:58:12.107456,29.16
2024-03-25 11:58:13.831806,29.64
2024-03-25 11:58:15.558167,29.15
2024-03-25 11:58:17.277512,29.24
2024-03-25 11:58:19.000341,29.55
2024-03-25 11:58:20.730202,29.17
2024-03-25 11:58:22.537329,29.17
2024-03-25 11:58:24.262419,29.21
2024-03-25 11:58:25.992351,29.12
2024-03-25 11:58:27.708708,29.16
2024-03-25 11:58:29.436812,29.2
2024-03-25 11:58:31.160719,29.23
2024-03-25 11:58:32.885518,29.65
2024-03-25 11:58:34.607604,29.2
2024-03-25 11:58:36.336335,29.19
2024-03-25 11:58:38.059862,29.13
2024-03-25 11:58:39.782420,29.66
2024-03-25 11:58:41.510885,29.61
2024-03-25 11:58:43.239405,29.17
2024-03-25 11:58:45.423627,29.13
2024-03-25 11:58:47.614686,29.14
2024-03-25 11:58:49.338036,29.19
2024-03-25 11:58:51.065831,29.67
2024-03-25 11:58:52.830626,29.16
2024-03-25 11:58:54.554877,29.26
2024-03-25 11:58:56.282046,29.21
2024-03-25 11:58:57.994441,29.17
2024-03-25 11:58:59.717886,29.56
2024-03-25 11:59:01.442798,29.6
2024-03-25 11:59:03.162657,29.22
2024-03-25 11:59:04.891339,29.17
2024-03-25 11:59:06.621214,29.58
2024-03-25 11:59:08.345677,29.62
2024-03-25 11:59:10.068912,28.75
2024-03-25 11:59:11.799553,29.67
2024-03-25 11:59:13.523364,29.66
2024-03-25 11:59:15.250403,29.13
2024-03-25 11:59:16.983065,29.19
2024-03-25 11:59:18.706630,29.24
2024-03-25 11:59:20.428898,30.66
2024-03-25 11:59:22.152067,29.19
2024-03-25 11:59:23.874731,29.24
2024-03-25 11:59:25.595812,29.14
2024-03-25 11:59:27.312885,29.63
2024-03-25 11:59:29.030866,29.18
2024-03-25 11:59:30.761205,29.18
2024-03-25 11:59:32.482594,29.6
2024-03-25 11:59:34.203971,29.14
2024-03-25 11:59:35.927200,29.19
2024-03-25 11:59:37.650666,29.1
2024-03-25 11:59:39.371159,29.19
2024-03-25 11:59:41.105367,29.59
2024-03-25 11:59:42.822315,29.66
2024-03-25 11:59:44.760739,29.19
2024-03-25 11:59:47.204912,29.23
2024-03-25 11:59:48.924090,29.66
2024-03-25 11:59:50.665916,29.12
2024-03-25 11:59:52.388501,29.16
2024-03-25 11:59:54.125316,29.64
2024-03-25 11:59:55.880045,29.56
2024-03-25 11:59:57.604304,29.14
2024-03-25 11:59:59.318476,29.17
2024-03-25 12:00:01.045758,29.6
2024-03-25 12:00:02.770798,29.69
2024-03-25 12:00:04.496172,29.2
2024-03-25 12:00:06.226320,29.65
2024-03-25 12:00:07.946481,29.56
2024-03-25 12:00:09.670857,29.57
2024-03-25 12:00:11.651409,29.62
2024-03-25 12:00:13.373986,29.65
2024-03-25 12:00:15.096886,29.1
2024-03-25 12:00:16.819298,29.61
2024-03-25 12:00:18.542532,29.09
2024-03-25 12:00:20.268364,29.11
2024-03-25 12:00:21.994961,29.6
2024-03-25 12:00:23.722874,29.27
2024-03-25 12:00:25.452215,29.63
2024-03-25 12:00:27.175457,29.59
2024-03-25 12:00:28.909688,29.2
2024-03-25 12:00:30.636428,29.61
2024-03-25 12:00:32.360308,29.24
2024-03-25 12:00:34.082547,29.23
2024-03-25 12:00:35.813242,29.65
2024-03-25 12:00:37.538575,29.17
2024-03-25 12:00:39.261840,29.63
2024-03-25 12:00:40.992134,29.59
2024-03-25 12:00:42.713234,29.14
2024-03-25 12:00:44.625308,29.2
2024-03-25 12:00:46.871754,29.59
2024-03-25 12:00:48.595307,29.77
2024-03-25 12:00:50.324476,29.25
2024-03-25 12:00:52.053598,29.76
2024-03-25 12:00:53.783579,29.64
2024-03-25 12:00:55.516731,29.22
2024-03-25 12:00:57.244380,29.74
2024-03-25 12:00:58.972826,29.23
2024-03-25 12:01:00.711917,29.19
2024-03-25 12:01:02.426516,29.71
2024-03-25 12:01:04.151172,29.64
2024-03-25 12:01:05.881554,29.18
2024-03-25 12:01:07.605546,29.16
2024-03-25 12:01:09.329855,29.23
2024-03-25 12:01:11.063879,29.64
2024-03-25 12:01:12.795429,29.2
2024-03-25 12:01:14.523534,29.14
2024-03-25 12:01:16.251621,29.15
2024-03-25 12:01:17.976000,29.66
2024-03-25 12:01:19.701491,29.23
2024-03-25 12:01:21.446789,29.22
2024-03-25 12:01:23.173897,29.17
2024-03-25 12:01:24.989757,29.18
2024-03-25 12:01:26.724254,29.64
2024-03-25 12:01:28.448519,29.17
2024-03-25 12:01:30.215886,29.15
2024-03-25 12:01:31.947322,29.14
2024-03-25 12:01:33.669817,29.15
2024-03-25 12:01:35.396502,29.65
2024-03-25 12:01:37.124807,29.63
2024-03-25 12:01:38.854458,29.55
2024-03-25 12:01:40.583645,29.62
2024-03-25 12:01:42.309149,29.64
2024-03-25 12:01:44.032376,29.15
2024-03-25 12:01:46.118907,29.22
2024-03-25 12:01:47.904145,29.16
2024-03-25 12:01:49.630223,29.16
2024-03-25 12:01:51.376562,29.61
2024-03-25 12:01:53.102291,29.62
2024-03-25 12:01:54.817716,29.24
2024-03-25 12:01:56.545385,29.13
2024-03-25 12:01:58.276292,29.64
2024-03-25 12:02:00.017841,29.62
2024-03-25 12:02:01.755419,29.61
2024-03-25 12:02:03.503470,29.62
2024-03-25 12:02:05.242407,29.15
2024-03-25 12:02:06.970630,27.43
2024-03-25 12:02:08.703867,26.96
2024-03-25 12:02:10.451568,27.34
2024-03-25 12:02:12.171544,27.39
