time,temp_in_celsius,hum_in_percent
2024-03-25 09:49:04.465674,22.1,50.0
2024-03-25 09:49:21.233180,22.0,50.0
2024-03-25 09:49:32.671437,22.0,49.0
2024-03-25 09:49:38.484674,22.0,50.0
2024-03-25 09:49:49.971213,22.0,50.0
2024-03-25 09:50:11.783282,22.0,50.0
2024-03-25 09:50:28.655203,22.0,50.0
2024-03-25 09:50:46.513933,22.1,50.0
2024-03-25 09:51:03.282959,22.1,50.0
2024-03-25 09:51:20.623607,22.2,50.0
2024-03-25 09:51:37.394880,22.2,50.0
2024-03-25 09:51:48.775522,22.2,50.0
2024-03-25 09:52:00.068845,22.3,49.0
2024-03-25 09:52:16.845488,22.3,50.0
2024-03-25 09:52:28.131340,22.3,49.0
2024-03-25 09:52:40.511910,22.3,49.0
2024-03-25 09:52:52.314017,22.3,49.0
2024-03-25 09:53:03.634229,22.3,48.0
2024-03-25 09:53:26.753145,22.3,48.0
2024-03-25 09:53:39.223018,22.4,48.0
2024-03-25 09:53:56.012318,22.4,49.0
2024-03-25 09:54:12.992535,22.4,49.0
2024-03-25 09:54:25.461640,22.4,49.0
2024-03-25 09:54:42.694004,22.5,48.0
2024-03-25 09:55:04.934268,22.4,48.0
2024-03-25 09:55:21.702783,22.4,48.0
2024-03-25 09:55:34.087776,22.4,48.0
2024-03-25 09:55:45.387050,22.3,48.0
2024-03-25 09:55:56.744488,22.4,48.0
