time,distance_in_cm
2024-03-25 10:58:04.943844,26.97
2024-03-25 10:58:06.674410,26.85
2024-03-25 10:58:08.398359,27.36
2024-03-25 10:58:10.122191,26.86
2024-03-25 10:58:11.851725,27.41
2024-03-25 10:58:13.576479,26.86
2024-03-25 10:58:15.287239,26.93
2024-03-25 10:58:17.016094,27.33
2024-03-25 10:58:18.753987,26.97
2024-03-25 10:58:20.486158,27.36
2024-03-25 10:58:22.208203,26.9
2024-03-25 10:58:23.930559,28.12
2024-03-25 10:58:25.658132,26.95
2024-03-25 10:58:27.385604,26.84
2024-03-25 10:58:29.107088,27.02
2024-03-25 10:58:30.837461,27.42
2024-03-25 10:58:32.562459,27.33
2024-03-25 10:58:34.288868,26.98
2024-03-25 10:58:36.018323,26.94
2024-03-25 10:58:37.741684,27.42
2024-03-25 10:58:39.466702,27.46
2024-03-25 10:58:41.194653,26.89
2024-03-25 10:58:42.917424,26.97
2024-03-25 10:58:45.101175,26.93
2024-03-25 10:58:47.489104,27.36
2024-03-25 10:58:49.248985,26.95
2024-03-25 10:58:50.980402,26.92
2024-03-25 10:58:52.701982,26.96
2024-03-25 10:58:54.427189,26.94
2024-03-25 10:58:56.154306,26.99
2024-03-25 10:58:57.878506,26.95
2024-03-25 10:58:59.603800,26.89
2024-03-25 10:59:01.336860,26.96
2024-03-25 10:59:03.060679,27.43
2024-03-25 10:59:04.784418,26.91
2024-03-25 10:59:06.513474,26.91
2024-03-25 10:59:08.235498,26.91
2024-03-25 10:59:09.955024,27.02
2024-03-25 10:59:11.679452,27.0
2024-03-25 10:59:13.401422,26.96
2024-03-25 10:59:15.124080,26.9
2024-03-25 10:59:16.850473,26.97
2024-03-25 10:59:18.625860,26.94
2024-03-25 10:59:20.347582,27.43
2024-03-25 10:59:22.069504,26.92
2024-03-25 10:59:23.784476,27.37
2024-03-25 10:59:25.514741,26.97
2024-03-25 10:59:27.254785,26.91
2024-03-25 10:59:28.990642,27.27
2024-03-25 10:59:30.719286,26.98
2024-03-25 10:59:32.447798,27.01
2024-03-25 10:59:34.169186,27.33
2024-03-25 10:59:35.897021,26.87
2024-03-25 10:59:37.621341,26.9
2024-03-25 10:59:39.344465,27.35
2024-03-25 10:59:41.070513,27.34
2024-03-25 10:59:42.795926,27.31
2024-03-25 10:59:44.695232,26.87
2024-03-25 10:59:47.045654,27.38
2024-03-25 10:59:48.772433,27.02
2024-03-25 10:59:50.504322,27.4
2024-03-25 10:59:52.241523,26.89
2024-03-25 10:59:53.978934,26.95
2024-03-25 10:59:55.710011,27.37
2024-03-25 10:59:57.432152,26.9
2024-03-25 10:59:59.270209,26.9
