time,distance_in_cm
2024-03-25 11:08:29.302025,27.36
2024-03-25 11:08:31.048955,27.4
2024-03-25 11:08:32.774147,27.4
2024-03-25 11:08:34.498769,26.9
2024-03-25 11:08:36.227908,26.93
2024-03-25 11:08:37.949354,27.41
2024-03-25 11:08:39.672589,26.98
2024-03-25 11:08:41.410284,27.4
2024-03-25 11:08:43.146747,26.96
2024-03-25 11:08:45.247649,27.35
2024-03-25 11:08:47.489438,27.38
2024-03-25 11:08:49.214346,27.02
2024-03-25 11:08:50.957001,27.39
2024-03-25 11:08:52.674160,27.4
2024-03-25 11:08:54.396989,26.99
2024-03-25 11:08:56.120411,27.0
2024-03-25 11:08:57.842140,27.29
2024-03-25 11:08:59.559151,26.96
2024-03-25 11:09:01.288573,26.97
2024-03-25 11:09:03.014786,27.43
2024-03-25 11:09:04.735827,26.88
2024-03-25 11:09:06.495753,27.44
2024-03-25 11:09:08.237856,26.93
2024-03-25 11:09:09.950594,27.31
2024-03-25 11:09:12.119618,27.41
2024-03-25 11:09:13.842275,27.33
2024-03-25 11:09:15.582107,26.91
2024-03-25 11:09:17.300872,26.99
2024-03-25 11:09:19.025683,27.04
2024-03-25 11:09:20.758194,26.93
2024-03-25 11:09:22.483690,26.88
2024-03-25 11:09:24.205245,27.38
2024-03-25 11:09:25.934285,27.33
2024-03-25 11:09:27.660247,27.38
2024-03-25 11:09:29.381921,26.86
2024-03-25 11:09:31.110540,27.38
2024-03-25 11:09:32.829471,26.88
2024-03-25 11:09:34.566155,27.43
2024-03-25 11:09:36.310134,26.91
2024-03-25 11:09:38.035369,26.87
2024-03-25 11:09:39.759045,26.9
2024-03-25 11:09:41.486144,26.97
2024-03-25 11:09:43.214765,26.92
2024-03-25 11:09:45.382940,27.33
2024-03-25 11:09:47.578908,27.71
2024-03-25 11:09:49.317629,26.94
2024-03-25 11:09:51.047290,27.29
2024-03-25 11:09:52.768533,26.99
2024-03-25 11:09:54.488555,26.88
2024-03-25 11:09:56.217322,27.41
2024-03-25 11:09:57.938255,26.98
2024-03-25 11:09:59.663199,27.39
2024-03-25 11:10:01.391629,26.92
2024-03-25 11:10:03.124021,27.38
2024-03-25 11:10:04.848029,27.46
2024-03-25 11:10:06.568243,27.32
2024-03-25 11:10:08.293542,27.0
2024-03-25 11:10:10.020656,26.92
2024-03-25 11:10:11.748806,27.29
2024-03-25 11:10:13.471190,26.91
2024-03-25 11:10:15.196779,26.9
2024-03-25 11:10:16.918681,26.87
2024-03-25 11:10:18.643448,26.95
2024-03-25 11:10:20.369486,27.46
2024-03-25 11:10:22.099853,26.89
2024-03-25 11:10:23.826520,26.9
2024-03-25 11:10:25.563489,27.34
2024-03-25 11:10:27.288752,26.97
2024-03-25 11:10:29.013036,26.97
2024-03-25 11:10:30.744144,26.92
2024-03-25 11:10:32.469200,26.92
2024-03-25 11:10:34.190639,26.91
2024-03-25 11:10:35.918161,26.89
2024-03-25 11:10:37.644495,26.93
2024-03-25 11:10:39.353647,27.39
2024-03-25 11:10:41.091664,27.45
2024-03-25 11:10:42.833227,27.35
2024-03-25 11:10:44.838276,26.95
2024-03-25 11:10:47.163445,27.4
2024-03-25 11:10:49.213010,25.44
2024-03-25 11:10:50.931333,29.05
2024-03-25 11:10:52.658332,29.04
2024-03-25 11:10:54.382817,29.1
2024-03-25 11:10:56.111211,29.05
2024-03-25 11:10:57.840362,29.47
2024-03-25 11:10:59.603570,29.48
2024-03-25 11:11:01.333633,29.09
2024-03-25 11:11:03.063317,29.09
2024-03-25 11:11:04.786515,29.15
2024-03-25 11:11:06.516618,29.15
2024-03-25 11:11:08.237530,29.08
2024-03-25 11:11:09.962459,29.08
2024-03-25 11:11:11.690398,29.11
2024-03-25 11:11:13.412660,29.04
2024-03-25 11:11:15.136521,29.47
2024-03-25 11:11:16.877615,29.1
2024-03-25 11:11:18.602460,29.06
2024-03-25 11:11:20.327979,29.48
2024-03-25 11:11:22.058530,29.1
2024-03-25 11:11:23.783037,29.02
2024-03-25 11:11:25.562165,29.1
2024-03-25 11:11:27.286902,29.03
2024-03-25 11:11:29.022069,29.06
2024-03-25 11:11:30.765384,29.52
2024-03-25 11:11:32.482841,29.06
2024-03-25 11:11:34.212934,29.1
2024-03-25 11:11:36.187384,29.48
2024-03-25 11:11:37.934329,29.16
2024-03-25 11:11:39.659000,29.13
2024-03-25 11:11:41.393274,29.07
2024-03-25 11:11:43.103698,29.04
2024-03-25 11:11:45.257736,29.1
2024-03-25 11:11:47.473675,29.08
2024-03-25 11:11:49.199848,29.18
2024-03-25 11:11:50.922825,29.03
2024-03-25 11:11:52.645106,29.1
2024-03-25 11:11:54.355648,29.11
2024-03-25 11:11:56.114055,29.01
2024-03-25 11:11:57.847680,29.48
2024-03-25 11:11:59.587144,29.08
2024-03-25 11:12:01.315773,29.06
2024-03-25 11:12:03.046765,29.09
2024-03-25 11:12:04.762262,29.15
